Base_Height,H_Feb04,H_Feb14,H_Feb21,H_Feb28,Growth_Feb04,Growth_Feb14,Growth_Feb21,Growth_Feb28,Rate_Feb04_Feb14,Rate_Feb14_Feb21,Rate_Feb21_Feb28,Total_Growth,Growth_Acceleration,Survival_Score,Treatment_Encoded,Alive_Feb14,Alive_Feb21,Alive_Feb28,Target_Accession
16,22.5,32,36.1,39,6.5,16,20.1,23,0.95,0.585714286,0.414285714,23,-0.535714286,1,0,1,1,1,5
15.5,24,34,39,40,8.5,18.5,23.5,24.5,1,0.714285714,0.142857143,24.5,-0.857142857,1,0,1,1,1,5
13.5,16.5,20,23.5,24,3,6.5,10,10.5,0.35,0.5,0.071428571,10.5,-0.278571429,1,0,1,1,1,5
10.1,24,30,32,34,13.9,19.9,21.9,23.9,0.6,0.285714286,0.285714286,23.9,-0.314285714,1,0,1,1,1,5
17.5,20.5,34,40,42,3,16.5,22.5,24.5,1.35,0.857142857,0.285714286,24.5,-1.064285714,1,0,1,1,1,5
11.5,23.2,34.2,37.2,40.3,11.7,22.7,25.7,28.8,1.1,0.428571429,0.442857143,28.8,-0.657142857,1,0,1,1,1,5
18.3,24,32.6,39.5,43.2,5.7,14.3,21.2,24.9,0.86,0.985714286,0.528571429,24.9,-0.331428571,1,0,1,1,1,5
14.6,22,28.5,37.3,42.5,7.4,13.9,22.7,27.9,0.65,1.257142857,0.742857143,27.9,0.092857143,1,0,1,1,1,5
15.5,25.2,38,40,42,9.7,22.5,24.5,26.5,1.28,0.285714286,0.285714286,26.5,-0.994285714,1,0,1,1,1,5
16,19.8,35.5,39,40.2,3.8,19.5,23,24.2,1.57,0.5,0.171428571,24.2,-1.398571429,1,0,1,1,1,5
18.2,23,33,41,44.6,4.8,14.8,22.8,26.4,1,1.142857143,0.514285714,26.4,-0.485714286,1,0,1,1,1,5
14,22.5,36.5,39,41.3,8.5,22.5,25,27.3,1.4,0.357142857,0.328571429,27.3,-1.071428571,1,0,1,1,1,5
17.6,25.6,43,48,49.2,8,25.4,30.4,31.6,1.74,0.714285714,0.171428571,31.6,-1.568571429,1,0,1,1,1,2
17.3,23,36.5,37.3,39.5,5.7,19.2,20,22.2,1.35,0.114285714,0.314285714,22.2,-1.035714286,1,0,1,1,1,2
23.8,33.5,46,59.5,59.9,9.7,22.2,35.7,36.1,1.25,1.928571429,0.057142857,36.1,-1.192857143,1,0,1,1,1,2
18.5,27.2,31.6,36,36.5,8.7,13.1,17.5,18,0.44,0.628571429,0.071428571,18,-0.368571429,1,0,1,1,1,2
20.4,26.5,38.5,39,43.2,6.1,18.1,18.6,22.8,1.2,0.071428571,0.6,22.8,-0.6,1,0,1,1,1,2
16,19,19.5,0,0,3,3.5,-16,-16,0.05,-2.785714286,0,-16,-0.05,1,0,1,1,1,2
19.5,28,46.5,48.5,49,8.5,27,29,29.5,1.85,0.285714286,0.071428571,29.5,-1.778571429,1,0,1,1,1,2
17,27,31.5,33,36.5,10,14.5,16,19.5,0.45,0.214285714,0.5,19.5,0.05,1,0,1,1,1,2
17,24.5,29.2,33,34.5,7.5,12.2,16,17.5,0.47,0.542857143,0.214285714,17.5,-0.255714286,1,0,1,1,1,2
18.5,25,45,46.5,49,6.5,26.5,28,30.5,2,0.214285714,0.357142857,30.5,-1.642857143,1,0,1,1,1,2
16,21,32,36,36.5,5,16,20,20.5,1.1,0.571428571,0.071428571,20.5,-1.028571429,1,0,1,1,1,2
16.6,27,40,46,51.5,10.4,23.4,29.4,34.9,1.3,0.857142857,0.785714286,34.9,-0.514285714,1,0,1,1,1,2
14.5,24.5,36.1,43.7,44.7,10,21.6,29.2,30.2,1.16,1.085714286,0.142857143,30.2,-1.017142857,1,0,1,1,1,0
11,16.5,30,32,33,5.5,19,21,22,1.35,0.285714286,0.142857143,22,-1.207142857,1,0,1,1,1,0
16,24.5,37.5,41,42,8.5,21.5,25,26,1.3,0.5,0.142857143,26,-1.157142857,1,0,1,1,1,0
12.8,22.5,29,30,30.5,9.7,16.2,17.2,17.7,0.65,0.142857143,0.071428571,17.7,-0.578571429,1,0,1,1,1,0
20,29,41.5,46,46.5,9,21.5,26,26.5,1.25,0.642857143,0.071428571,26.5,-1.178571429,1,0,1,1,1,0
16,25.3,40.1,46,54,9.3,24.1,30,38,1.48,0.842857143,1.142857143,38,-0.337142857,1,0,1,1,1,0
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,0
14.2,23,37,39.6,41.1,8.8,22.8,25.4,26.9,1.4,0.371428571,0.214285714,26.9,-1.185714286,1,0,1,1,1,0
18.5,27.5,38,42,42.5,9,19.5,23.5,24,1.05,0.571428571,0.071428571,24,-0.978571429,1,0,1,1,1,0
19,27.8,40.5,43,47.1,8.8,21.5,24,28.1,1.27,0.357142857,0.585714286,28.1,-0.684285714,1,0,1,1,1,0
7.5,16,27,29,31.8,8.5,19.5,21.5,24.3,1.1,0.285714286,0.4,24.3,-0.7,1,0,1,1,1,0
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,0
16,23.4,37,42,46.9,7.4,21,26,30.9,1.36,0.714285714,0.7,30.9,-0.66,1,0,1,1,1,9
17.4,26.2,35.5,40,46.2,8.8,18.1,22.6,28.8,0.93,0.642857143,0.885714286,28.8,-0.044285714,1,0,1,1,1,9
16.3,26.3,37.2,42,43,10,20.9,25.7,26.7,1.09,0.685714286,0.142857143,26.7,-0.947142857,1,0,1,1,1,9
